,user_id,anime_id,rating,watching_status,watched_episodes
70726073,228873,10793,8,2,22
58639626,190032,31043,9,2,12
89606466,289637,4039,8,2,50
57138693,185361,37779,9,2,12
682270,2300,32491,8,2,4
88363776,285554,12565,5,2,1
97833296,316129,2006,4,2,1
47120060,152883,2034,6,2,24
69226190,223880,15227,10,2,1
66761681,216014,33926,7,2,12
25527848,82805,11981,9,2,1
104426707,337524,2034,7,2,24
8862922,28949,23673,6,2,12
23360292,75630,14227,3,2,13
76396327,247493,33489,7,2,25
45818689,148563,2043,7,2,73
66369774,214802,13863,8,2,1
31663977,102697,6211,9,2,11
103233860,333635,17395,2,2,1
61189322,198226,10155,5,2,13
46955735,152355,39587,5,3,3
38380858,124676,22961,8,2,1
33406473,108216,37779,6,2,12
44412271,144103,1535,10,2,37
86271752,278912,2390,6,2,100
35733807,115984,440,9,2,39
81841423,264941,1,7,2,26
68593207,221984,3503,7,2,12
53243812,172675,8247,7,2,1
20650628,66814,6211,5,2,11
74524510,241312,31181,8,2,12
4531728,14926,10155,6,2,13
72143103,233492,10155,7,2,13
54102286,175412,145,6,2,26
11403903,37148,31964,7,2,13
100836620,325744,9253,10,2,24
50468092,163624,34498,7,2,1
10944790,35630,32615,7,2,12
92396594,298404,14227,7,2,13
79053214,255963,2890,8,2,1
21565759,69764,31405,7,3,6
11969134,38926,249,7,3,53
47572553,154459,10408,8,2,1
103394368,334189,2144,8,2,1
46414131,150601,21067,5,2,12
4528617,14910,322,10,2,12
100042664,323253,33010,4,4,1
46112443,149540,21855,9,2,5
18229586,59026,9253,10,2,24
52196709,169339,31580,8,2,13
92067983,297420,17641,8,2,1
84202962,272445,31580,7,2,13
65946023,213439,10620,7,2,26
81370802,263500,13587,7,2,1
10211578,33272,9926,6,2,12
93726934,302818,899,6,2,1
47817542,155265,31964,7,2,13
12853028,41813,32547,7,2,1
96114530,310591,17549,10,2,12
2689318,9089,31964,6,2,13
7274270,23871,985,8,2,1
67255054,217647,28891,10,2,25
51596339,167329,7711,10,2,1
74916385,242550,27989,9,2,13
52821357,171351,2899,7,2,1
51984144,168629,15039,7,2,1
24638867,79910,2961,8,2,1
93615022,302465,896,4,2,1
34629266,112364,23273,8,2,22
40366527,130991,249,7,6,31
18938401,61282,9253,10,2,24
91487153,295601,20,7,2,220
34129156,110689,901,7,2,1
66128934,214059,1292,8,2,5
45050516,146190,1,9,2,26
59782487,193759,10620,10,1,8
75152009,243331,31297,7,2,1
38137664,123841,10408,6,2,1
105890202,342321,10155,7,2,13
21219571,68645,1575,9,2,25
53668178,174005,21067,4,2,12
38495887,125070,901,10,2,1
68843703,222699,6547,10,2,13
8589521,28033,6211,5,4,1
8785204,28699,8525,7,2,12
72272934,233896,4654,5,4,0
58187458,188718,13601,10,1,19
104959922,339237,31964,6,2,13
50856592,164885,23281,6,2,11
84989288,275026,3782,10,2,1
100286833,323960,527,8,3,56
43961762,142652,14353,9,2,1
75610685,244832,6547,8,2,13
13407976,43565,10711,8,2,12
8427727,27505,14407,10,2,1
44370995,143968,37430,6,2,25
71269586,230653,34096,10,2,12
12500593,40644,10075,9,2,1
104015419,336272,6774,8,2,11
14459477,46969,322,9,2,12
107804866,348808,31043,8,2,12
49347380,160048,12967,7,4,0
22177705,71763,5630,10,2,11
87203410,281935,10408,6,2,1
12478695,40560,14741,6,2,12
87734034,283648,2167,5,2,23
20646399,66786,889,10,2,12
53885569,174711,11543,5,2,1
14439591,46902,11771,10,2,25
21058341,68155,7113,6,2,1
86354255,279192,2963,8,2,13
68973366,223107,79,9,2,24
49988885,162131,8171,6,2,1
47892947,155517,250,7,1,50
50313811,163164,23673,10,2,12
24023290,77918,1313,8,2,50
37201540,120864,1887,7,2,24
94683925,305933,6895,5,2,12
89181846,288164,19291,9,2,93
13907507,45188,467,8,2,26
95529221,308730,1887,3,2,24
14948546,48533,13601,8,2,22
75430998,244229,6927,7,2,1
82559685,267361,23273,9,2,22
104363484,337335,10075,10,2,1
66190383,214258,6178,8,2,1
104221849,336913,23673,10,2,12
93043232,300572,8129,8,2,11
80685284,261267,31043,8,2,12
20711766,67025,841,10,6,14
83022160,268799,889,9,2,12
1571493,5407,2685,8,2,3
65837869,213080,11887,7,2,13
43813807,142119,101,9,2,13
80259038,259919,1887,9,2,24
98517978,318345,33836,7,2,12
101657101,328397,1177,9,2,4
47491315,154180,37520,8,2,24
90552236,292585,2006,9,2,1
48829776,158439,1140,9,2,1
71850270,232499,889,6,2,12
32230608,104574,13601,10,2,22
60130054,194857,8129,8,2,11
43875916,142343,527,5,2,276
79882547,258760,40082,8,2,1
47541050,154342,37430,9,2,24
23152171,74917,37779,9,2,12
41624164,134960,756,7,2,1
74995629,242808,460,8,2,1
189352,641,31181,7,2,12
10843156,35296,23281,7,2,11
104823161,338760,8525,9,2,12
74052048,239763,15197,8,2,1
100201717,323737,369,8,2,12
77626610,251407,3782,8,2,1
60159931,194938,16918,7,4,5
61310892,198624,40028,10,1,13
29517863,95638,29513,7,2,1
94578268,305579,9367,7,2,12
91238169,294808,249,10,6,0
17975077,58244,12893,8,2,6
103442149,334355,33836,6,2,12
26506415,85892,27989,8,2,13
14522525,47159,129,5,3,1
17268654,56026,33983,6,2,13
92090378,297485,32182,7,2,12
88602376,286349,242,7,2,13
67331872,217903,250,8,2,150
101550432,328093,31043,10,2,12
24946709,80948,28121,7,2,13
38382880,124683,28121,7,2,13
32617767,105850,28121,7,2,13
83724606,270978,11771,10,2,25
41212127,133620,1472,9,2,13
30375948,98432,10793,6,2,22
101028437,326379,35851,9,2,1
99373625,321145,1575,7,2,25
48327928,156831,5630,5,2,11
78030426,252540,18671,4,4,1
82521350,267214,38408,10,2,25
52070025,168924,32615,7,2,12
86183032,278607,41168,6,2,1
52862381,171482,7711,10,2,1
102046279,329737,20,7,2,220
35075776,113817,355,9,2,24
108978766,352623,1,9,2,26
100134475,323537,40028,9,1,11
34401502,111581,31636,5,4,0
87034145,281347,449,7,2,1
58596297,189897,10711,10,1,0
98353244,317758,1887,9,3,5
108283152,350316,30,10,2,26
81657789,264359,1575,9,2,25
104110926,336593,22433,10,1,12
92418228,298475,40082,7,2,1
103152229,333368,11887,8,2,13
22843644,73902,11887,7,2,13
18842476,60955,12115,8,2,1
34364131,111463,28825,7,2,12
74883636,242448,25681,8,2,12
62882723,203748,31043,9,3,5
6787319,22248,1710,5,2,56
94878477,306604,39587,9,2,13
23902285,77470,27989,9,2,13
52907085,171621,37779,7,2,12
51692447,167667,974,6,2,1
40140602,130332,889,7,2,12
78673955,254739,35608,6,2,1
68637800,222118,6288,7,2,1
67740363,219204,6547,8,2,13
95975266,310177,14227,9,2,13
41654909,135034,513,8,2,1
6951189,22791,28891,9,2,25
64709235,209465,1535,10,2,37
46831892,151918,27989,7,2,13
60658810,196600,31580,8,1,4
20171623,65169,1090,9,2,1
79039522,255915,1575,6,2,25
18569120,60143,14227,7,2,13
32456413,105318,5310,9,2,1
71276101,230670,10793,10,2,22
66401014,214910,18671,8,2,12
19256174,62251,16157,7,2,12
91339821,295117,530,8,2,46
83489766,270243,31043,9,2,12
7547423,24764,10711,2,4,3
35920560,116609,31181,8,2,12
86372886,279250,14131,7,2,12
100800776,325644,38408,9,2,25
6804190,22312,815,10,2,1
98453034,318113,10278,7,2,25
88432922,285780,7711,7,2,1
79751164,258327,40082,7,2,1
3421360,11356,30585,5,2,1
48361706,156940,32287,5,2,1
61713660,199923,325,8,2,25
39995175,129978,9001,5,2,1
7758718,25411,32977,7,2,100
66095689,213942,17549,10,2,12
68591466,221975,899,6,2,1
101615599,328260,33926,9,2,12
67752041,219230,10793,9,2,22
14386793,46711,8100,8,2,1
66930554,216611,13411,7,2,1
92745694,299605,12565,7,2,1
83635702,270703,4654,8,2,24
109022037,352778,28121,9,2,13
39976421,129910,9253,7,2,24
99956429,322947,967,10,2,109
5211348,17145,5205,7,2,1
80705504,261334,16732,9,2,12
102374941,330788,10408,9,2,1
30474732,98749,12137,5,2,1
85545427,276708,31964,7,2,13
69182564,223756,901,7,2,1
51757984,167884,1961,7,2,1
22162374,71698,157,6,2,26
97778012,315938,66,6,3,1
17197769,55767,4654,7,2,24
77812414,251913,31297,5,2,1
82922321,268469,3269,10,2,1
95471628,308516,243,6,2,13
82175639,266051,14741,7,2,12
50677510,164326,28121,8,2,13
67714659,219116,467,9,2,26
24187639,78442,6211,7,2,11
64329942,208289,17641,9,2,1
25176783,81702,7711,8,2,1
70149210,227060,20,9,2,13
66345443,214723,23399,6,2,1
102833516,332369,23281,8,2,11
12094296,39320,884,7,2,1
73817119,239006,14227,7,2,13
60476518,195993,18671,7,2,12
49085448,159240,25157,6,3,3
7673167,25128,243,9,2,13
51642387,167477,23673,8,2,12
19270643,62296,14407,8,2,1
8168700,26654,20811,4,2,1
68732574,222335,1535,8,2,37
24442347,79278,10620,8,2,26
19849376,64095,38408,10,2,25
86590889,279943,8525,7,2,12
41655184,135035,36990,7,2,1
14353144,46595,2167,9,2,23
79600952,257803,31043,2,2,12
84209404,272463,1913,6,2,5
8102418,26454,9253,10,2,24
89714465,289987,9000,8,2,1
70924121,229553,58,6,3,18
39932211,129782,431,10,2,1
65059260,210554,9926,8,2,12
74239013,240374,210,8,2,161
67843491,219480,1,8,2,26
104505789,337752,815,7,2,1
83175455,269266,33489,9,2,25
49265905,159771,597,9,2,1
76171991,246728,31964,8,2,13
28830200,93397,861,10,2,24
16166731,52487,298,8,2,12
45209616,146714,11531,9,2,1
104715582,338427,1,10,2,26
95566460,308859,31297,8,2,1
86349005,279171,38408,9,2,25
106166067,343252,10521,8,2,13
64650321,209308,38408,9,2,25
16310475,52920,6547,8,2,13
102187510,330199,13601,10,2,22
52788072,171223,668,7,2,13
39141235,127101,20,7,2,220
91095531,294346,464,10,2,1
23675841,76674,35182,5,2,1
67116351,217219,35851,7,2,1
99184239,320502,16918,8,2,11
75913257,245844,10532,4,2,2
67671104,218968,449,9,2,1
47443638,154004,8171,8,2,1
10098844,32905,1546,8,2,26
34806862,112929,25519,7,2,12
26474194,85777,985,8,2,1
53097804,172217,6547,10,2,13
21478159,69462,5597,7,3,3
35013470,113620,1374,5,4,5
60476148,195992,437,7,2,1
75960331,245977,437,7,2,1
79636075,257933,4874,7,2,1
71644973,231844,8337,3,2,1
56966033,184821,31636,6,2,12
79772600,258391,1575,10,2,25
64692306,209435,3371,8,2,24
53948705,174918,21855,7,2,5
85789114,277423,10620,8,2,26
67243362,217608,10691,6,2,1
59742519,193627,20,8,2,220
33893370,109895,40028,10,1,5
7881352,25770,20,8,2,220
28637019,92812,357,6,2,4
48801168,158339,16157,8,2,12
96267230,311067,20,7,2,220
93325913,301530,31043,9,2,12
108396286,350678,37779,8,2,12
79751560,258327,36992,5,2,2
62614485,202880,20583,8,2,25
106011070,342760,14511,8,3,1
97302106,314436,1535,10,2,37
66161703,214169,3782,8,2,1
31061145,100652,31964,8,2,13
81531113,263999,2403,2,4,4
74072016,239827,31043,7,2,12
14531475,47177,9253,8,2,24
60518648,196145,6895,6,4,1
94734044,306093,34541,7,2,1
99170549,320465,31964,10,2,13
80683978,261261,11887,6,2,13
41793361,135481,31043,10,2,12
97003263,313420,16353,7,2,13
99719517,322154,597,8,2,1
4469658,14695,20,9,2,220
105900878,342364,39587,9,2,13
93494467,302082,250,5,4,10
6681909,21922,1259,8,2,1
64113639,207686,33489,8,2,25
14074736,45725,6547,10,2,13
1212050,4136,10702,10,2,1
17072739,55329,18831,9,2,1
106673218,345040,467,7,1,1
5299760,17422,11887,10,2,13
91927416,296968,25681,8,2,12
33119778,107293,114,8,2,26
101501738,327942,33814,2,2,13
47465570,154079,33836,5,2,12
89802871,290259,259,7,2,5
37822485,122799,16918,10,2,11
99264663,320759,499,8,2,1
69495159,224726,759,8,2,1
95534456,308744,23273,9,2,22
59477101,192731,29513,10,2,1
58916284,190939,14227,7,2,13
100526692,324761,3782,7,2,1
5738141,18835,512,9,2,1
36162003,117403,31163,7,4,2
2444348,8201,31964,10,2,13
42328817,137192,34498,6,2,1
67475190,218361,38408,7,2,25
83316387,269651,42423,9,2,1
55070577,178678,895,7,2,1
77541992,251187,3503,10,2,12
21709524,70259,2890,7,2,1
30660910,99363,157,7,2,26
71206568,230473,34540,10,2,1
90417981,292173,37520,7,2,24
79073527,256032,22433,7,2,12
55034643,178562,31580,8,1,1
38026816,123472,861,7,2,24
47877125,155474,25045,6,3,5
22358498,72370,28447,3,2,1
71509683,231409,10793,6,2,22
54422779,176501,17549,8,2,12
85673052,277065,1121,7,2,1
25919923,84073,2471,8,2,1787
88525013,286097,16732,7,2,12
75721050,245173,28623,10,2,12
30474483,98749,145,6,2,26
54695137,177416,322,7,1,1
14840509,48165,210,8,2,161
1597805,5496,1575,10,2,25
75109528,243209,1575,9,2,25
6773922,22197,14131,7,2,12
65557206,212170,1313,3,2,50
74147104,240056,15359,4,2,5
53675483,174028,12115,9,2,1
10930674,35589,28221,6,2,12
47118507,152878,13601,8,2,22
93821116,303136,37520,10,2,24
92920162,300173,5205,4,2,1
100239472,323824,9253,9,2,24
12140072,39448,801,9,2,26
76477320,247764,36548,7,2,12
62212354,201549,985,6,2,1
94282907,304673,17777,1,4,3
16062957,52141,16049,8,2,24
23828070,77217,16904,9,2,1
50051277,162362,10507,7,2,47
511052,1667,19163,10,2,10
7133669,23402,454,2,2,1
13699446,44539,431,8,2,1
77808862,251905,413,2,2,1
37214568,120916,20583,8,2,25
20121096,65002,37105,8,2,12
19901053,64266,2598,8,2,54
28754519,93171,466,9,2,1
99791737,322411,37105,9,2,12
78554144,254302,101,9,2,13
55329945,179542,3503,6,2,12
60258986,195287,1535,9,2,37
89047142,287717,14741,8,2,12
741613,2471,4654,7,2,24
107700524,348440,36990,9,2,1
21784612,70493,9926,8,2,12
97048604,313566,9253,7,3,2
86178681,278588,4896,9,2,26
4699067,15522,25015,9,2,1
51166848,165814,31964,8,2,13
20098239,64925,31297,7,2,1
105802685,342004,19163,8,2,10
58734641,190340,2220,1,2,1
52465289,170146,39587,6,2,13
104061455,336452,10408,9,2,1
20059508,64815,28891,9,2,25
103747116,335370,25157,2,2,12
49900271,161843,1535,9,2,37
59088306,191507,527,7,2,276
96766832,312590,31580,9,2,13
37079470,120445,20,3,2,220
72386551,234304,37999,9,2,12
38531650,125182,17121,8,2,1
85771473,277359,14713,7,2,13
80664815,261189,19163,10,2,10
85340427,276074,467,10,2,26
95515880,308686,13601,8,2,22
106188333,343335,25681,8,2,12
45492652,147567,481,8,2,224
15470221,50247,1575,7,2,25
63762617,206610,431,7,2,1
29951544,97081,14353,7,2,1
7627720,24984,527,7,2,276
95219669,307756,10521,8,2,13
89985685,290810,431,9,2,1
16751124,54235,759,8,2,1
69894524,226140,530,8,2,46
78695007,254792,8525,6,2,12
7516624,24669,10793,5,2,22
59081334,191493,527,5,2,276
91994586,297160,6547,10,2,13
11729902,38143,28979,7,2,12
105463153,340979,33729,6,2,1
65831989,213061,23273,10,2,22
75106686,243191,37779,10,2,12
7188818,23571,1535,9,2,37
32848076,106546,325,8,2,25
58296920,189037,36833,7,2,1
42920601,139203,10711,10,2,12
53682239,174056,467,10,2,26
63769414,206627,28121,7,2,13
61346415,198730,25429,5,2,10
5605074,18380,8246,7,2,1
82848807,268263,9355,4,2,1
92630745,299210,28891,7,2,25
17176187,55707,32615,7,2,12
52798453,171269,23281,4,2,11
9593686,31297,40052,5,2,23
57880920,187723,28825,7,2,12
42393063,137416,14227,8,2,13
13224222,42992,6547,10,2,13
44765168,145274,20583,7,2,25
25404936,82384,11783,7,2,13
33338278,107984,12967,7,2,12
76847150,248948,1575,9,2,25
71016255,229857,10731,6,2,1
18213605,58969,8129,6,2,11
92126235,297597,13667,10,2,1
38892711,126331,31964,8,2,13
54606792,177115,28121,7,2,13
28872462,93575,265,8,2,1
86877632,280905,12221,8,2,1
101541845,328068,10620,8,2,26
8179043,26669,14227,10,2,13
99329776,320991,23281,8,2,11
73888392,239242,13601,8,2,22
69841432,225963,37779,10,2,12
12589763,40923,8129,9,2,11
65308938,211358,17549,9,2,12
17465968,56688,25681,7,2,12
70824838,229242,1887,7,2,24
104880479,338964,889,7,2,12
33704593,109248,1000,6,2,42
3719761,12316,10408,9,2,1
41503659,134551,23273,10,2,22
15098767,49014,355,8,2,24
55659045,180661,36999,10,2,6
39665661,128856,35678,8,2,1
53909777,174779,79,7,2,24
34247992,111075,265,8,2,1
92464165,298632,20,5,2,220
91314807,295047,432,7,2,6
103899058,335867,12679,8,1,8
87917521,284143,1313,6,2,50
80718880,261387,8129,9,2,11
60975733,197570,974,4,2,1
81246497,263096,1949,2,2,1
67569918,218641,145,9,2,26
65000430,210382,25681,7,2,12
4812739,15908,1571,8,2,25
94674921,305901,28623,10,2,12
108259239,350251,2144,5,2,1
43059879,139640,30778,10,2,1
20975744,67943,785,7,2,2
83563476,270452,1575,9,2,25
24822932,80537,8525,9,2,12
23622565,76491,801,8,2,26
91776430,296518,2144,4,2,1
57624196,186940,15039,9,2,1
31752594,102966,10716,8,2,1
73863004,239152,2508,9,2,12
98715313,318969,17549,9,2,12
79574556,257717,13667,4,2,1
100486368,324630,32182,9,2,12
47600483,154523,10532,8,2,2
87516536,282999,10620,5,2,26
81821286,264879,14227,8,2,13
15407368,50037,39565,6,2,1
17702665,57444,11887,10,2,13
22672952,73391,2167,6,2,23
3543480,11740,8525,5,1,0
100212378,323766,37055,10,2,1
11677214,37997,5844,6,2,1
39571769,128580,39991,7,2,1
92447356,298563,210,8,2,161
2780602,9398,896,6,2,1
104847986,338866,7081,9,2,44
17172226,55702,15335,10,2,1
44301314,143743,50,10,2,24
26614436,86237,916,6,2,13
18404988,59625,31580,5,2,13
107029449,346245,20,6,2,220
45031520,146129,10620,8,2,26
34121749,110671,7045,8,2,1
27085725,87749,20,7,2,220
49706964,161238,20583,7,2,25
74691630,241792,15775,7,2,2
49376949,160110,1879,7,2,1
10843504,35297,19685,7,2,13
76917756,249183,2150,10,2,78
16007666,52001,2167,6,3,5
46986005,152475,14741,3,4,1
98212392,317256,20,10,2,220
54140308,175542,2890,8,2,1
100735710,325465,30346,9,2,1
26230566,85077,31964,8,2,13
97262961,314298,1085,5,2,3
24059399,78054,31043,9,6,0
54536871,176892,6774,9,2,11
3633264,12040,28891,7,2,25
101795223,328870,8525,9,2,12
57056487,185116,39565,7,2,1
35938517,116664,28623,7,2,12
58020596,188188,16049,9,2,24
59489753,192777,2006,6,2,1
51070563,165536,13055,7,2,2
434162,1400,1535,7,2,37
33521167,108646,431,10,2,1
45122972,146434,13411,5,2,1
62128453,201277,249,10,2,167
40954785,132795,20,10,2,220
11978667,38965,32648,8,2,12
10039385,32709,527,5,2,276
52003271,168692,10521,9,2,13
59089870,191513,431,9,2,1
108112926,349821,31181,8,2,12
58653821,190098,19163,5,2,10
22032316,71311,3269,10,2,1
107721456,348511,322,10,2,12
71620255,231762,8247,5,2,1
11290739,36754,28121,10,4,3
68753276,222407,12115,6,2,1
42013746,136174,10155,7,2,13
42796327,138776,39565,8,2,1
54517239,176821,37520,8,3,11
104318216,337185,11771,9,2,25
73179890,236884,2963,9,2,13
96488455,311797,249,9,2,167
4356963,14313,11981,9,2,1
59354789,192356,1211,8,2,1
38473703,124975,1238,9,2,1
58498945,189630,31964,8,2,13
108778896,351949,2890,10,2,1
39373780,127872,13667,7,2,1
37645540,122308,559,7,2,1
41425423,134289,449,10,2,1
106204224,343398,899,7,2,1
407913,1323,14741,6,2,12
100819100,325704,36934,5,4,3
74989015,242790,19163,7,2,10
193373,651,37779,8,2,12
5195245,17096,431,10,2,1
73963543,239488,807,9,2,1
98570367,318537,37430,7,2,24
23628448,76524,16904,7,2,1
87235811,282034,10702,8,2,1
55010595,178475,180,7,2,13
101869063,329140,23273,8,2,22
89904258,290559,28121,10,2,13
105828850,342091,14741,9,2,12
100489226,324640,2994,9,2,2
56027899,181834,32182,9,2,12
35580036,115454,11771,9,2,25
1682778,5735,14407,10,2,1
48803313,158351,1,7,2,26
80587867,260925,37779,10,2,12
4016469,13256,23673,1,2,12
7827205,25615,31580,6,2,13
25010716,81151,9253,9,2,24
31789168,103079,37999,9,2,12
36965005,120072,20811,5,2,1
32711917,106130,38408,8,2,25
21083045,68232,12967,1,4,5
29654696,96102,1177,8,2,4
40526235,131513,916,7,2,13
90396183,292119,1535,10,2,37
13845499,44982,530,9,2,46
52384290,169908,33220,5,2,1
68761451,222451,325,8,2,25
91263077,294883,1535,10,2,0
54552623,176940,2034,10,2,24
103597201,334861,10521,7,2,13
12453144,40485,23281,8,2,11
20245438,65421,11981,8,2,1
94409601,305049,31580,4,4,2
63418683,205520,6211,7,2,11
30959500,100327,14741,8,2,12
34277808,111173,1535,9,2,37
26420073,85595,180,8,2,13
65882077,213242,6547,7,2,13
24585405,79714,29978,4,2,1
50163563,162693,6547,10,2,13
43395725,140716,5719,7,2,2
14417159,46814,23673,8,2,12
107759467,348645,37430,8,2,24
103960339,336094,12679,9,2,13
76371979,247415,30,7,2,26
56563716,183452,39551,8,1,10
46388727,150525,9253,8,2,24
28023852,90769,37999,8,2,12
59777482,193741,14289,7,2,13
81884979,265077,5205,9,2,1
80521998,260726,31964,8,2,13
94442838,305150,31964,8,2,13
